2024-11-28|10:10:10|Black Friday Shopping|Best Buy|-450.75
2025-07-18|09:45:00|Childcare Payment|Daycare Center|-450.00
2025-09-01|08:00:00|Rent Payment|Landlord|-1100.00
2025-08-29|19:05:20|Weekend Trip|Airbnb|-300.00
2025-08-12|14:22:10|Medical Checkup|HealthCare Clinic|-200.00
2025-10-10|09:10:11|Adult Diapers|Walmart|-350.75
2025-10-11|21:40:10|Concert Tickets|Ticketmaster|-120.00
2025-09-03|11:00:00|Car Insurance|Geico|-120.00
2025-09-25|17:30:45|Phone Bill|Verizon|-85.00
2024-05-10|17:50:00|Grocery Shopping|Target|-75.25
2025-02-10|07:20:45|Snow Removal|Local Service|-60.00
2025-09-18|16:20:45|Dining Out|Olive Garden|-55.25
2024-09-05|13:10:50|Dog Grooming|Pet Palace|-55.00
2025-07-14|19:30:00|Utilities Bill|Electric Co|-95.50
2025-10-14|07:45:00|Pet Supplies|PetSmart|-45.00
2024-10-20|15:30:00|Online Course Fee|Coursera|-39.99
2024-09-20|13:20:00|Book Purchase|Amazon|-25.99
2025-10-03|10:20:55|Streaming Subscription|Netflix|-15.99
2025-09-18|16:20:48|Coffee|Starbucks|-12.50
2024-10-12|15:45:20|Adult Diapers|Starbucks|-5.45
2025-10-17|08:57:03|Adult Diapers|Amazon|-125.59
2025-06-20|16:30:00|Garage Sale Earnings|Neighborhood|120.00
2025-04-01|11:55:00|Birthday Gift|Friend|100.00
2025-08-25|12:15:30|Gift Received|Family|200.00
2025-09-21|14:30:00|Sold Old Laptop|eBay|350.00
2025-09-30|08:15:30|Stock Dividend|Robinhood|75.25
2025-10-16|13:55:00|Adult Diapers|Facebook Marketplace|-150.00
2025-10-13|13:10:05|Freelance Project|Fiverr|600.00
2025-10-15|18:45:00|Freelance Payment|Upwork|800.00
2024-12-01|12:00:00|Freelance Design|99Designs|950.00
2025-01-05|08:30:00|New Year's Bonus|Employer Inc|1000.00
2024-12-24|10:15:00|Christmas Bonus|Employer Inc|500.00
2025-10-05|14:22:30|Monthly Salary|Employer Inc|3000.00
2025-10-17|13:13:25|Garlic|Fanuel|50.0
2025-10-17|13:14:11|Food|McDonalds|-12.5
